asset_id,asset_name,asset_description,asset_maker,record_type,parent_asset_id,children_count,site_id,serial_number,asset_tag,asset_user,equipment_id,legacy_identifier,criticality,condition,asset_class,activation_date,retirment_date,client_vendor_id,company_name,site_name,asset_has_image,has_image,parent_has_image,pool_id,pool,product_id,parent_product_id,product_name,parent_product_name,category_id,root_category_id,category_name,root_category_name,manufacturer_id,manufacturer,display_part_number,display_name,manufacturer_part_number,asset_room,location,station,tool_role,tool_id,department_id,department_name,custodian_name,warranty,warranty_end,is_warranty_expired,depreciation_method,depreciation_basis,salvage_value,total_service_cost,life_span_months,due_for_replacement_date,depreciation_proc,purchase_date,purchase_cost,time_in_service,retirement_reason,residual_cost,employee_id,asset_service_record_id,result_status,as_found_result,as_left_result,last_service_date,last_service,next_service_date,next_service,service_schedule_segment_id,service_schedule_id,service_schedule,service_order_id,service_order_status,custom_order_number,service_order_item_id,vendor,technician,certificate_number,due_trigger_date,past_due_trigger_date,due_status,work_status
1235622,Data Acquisition System - DAQBOOK/2005 - 808173,"Daqbook 2005 with 40 type ""K"" Thermocouples. S/N 808173 U/N K6",IOtech,1,,0,96552,808173,K6,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,182527,168302.0,IOT DaqBook/2005 Multifunction Data Acquisition System,IOT DaqBook Series Multifunction Data Acquisition Systems,2476,2044,Data Acquisition System,,3458,IOtech,DaqBook/2005,,DaqBook/2005,Pyrometry Field,Pyro,,1,27448.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235626,"Calibrator, Digital - Fluke 726 Field Potentiometer - 9728087",Field Calibrator used for testing of Temperature and Electrical instrumentation.,Fluke,1,,0,96552,9728087,FC7,Mike Ragonese,,,,,,,,,,Main Location,False,False,False,620646,Pyro,143902,139723.0,Fluke 726 Precision Multifunction Process Calibrator,Fluke Precision Multifunction Process Calibrator,266,70,Process Calibrator,,566,Fluke,726,,726,Pyrometry Field,Pyro,,1,27452.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235630,Data Acquisition System - DAQBOOK/2005 - 807705,"DaqBook 2005, with connections for 40 type ""J"" thermocouples.",IOtech,1,,0,96552,807705,J3,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,182527,168302.0,IOT DaqBook/2005 Multifunction Data Acquisition System,IOT DaqBook Series Multifunction Data Acquisition Systems,2476,2044,Data Acquisition System,,3458,IOtech,DaqBook/2005,,DaqBook/2005,Pyrometry Field,Pyro,,1,27456.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235639,"Calibrator, Digital - Fluke 726 Field Calibrator, Digital - 9546011",Field Calibrator used for testing of Temperature and Electrical instrumentation.,Fluke,1,,0,96552,9546011,FC14,Ryan Byars,,,,,,2016-02-03,,,,Main Location,False,False,False,620646,Pyro,143902,139723.0,Fluke 726 Precision Multifunction Process Calibrator,Fluke Precision Multifunction Process Calibrator,266,70,Process Calibrator,,566,Fluke,726,,726,Pyrometry Field,Pyro,,1,27465.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235646,"Thermocouple Wire Set - ""J"" Iron-Constantan - J201-J214","A type ""J"" thermocouple wire set used for temperature uniformity surveys",Unidentified,1,,0,96552,J201-J214,J200SET,,,,,,,2003-05-15,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,Pyrometry Lab,,1,27472.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235659,"Thermocouple Wire Set - ""J"" Iron-Constantan - J301-J314","A Type ""J"" thermocouple wire set used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,J301-J314,J300SET,,,,,,,2011-09-27,,,,Main Location,False,True,True,620646,Pyro,53711,33769.0,Temperature Sensor,Generic Thermometers,1622,88,Temperature Sensor,,1000,,GENERIC 1622,,GENERIC 1622,Pyrometry Field,Pyrometry Lab,,1,27485.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235660,"Thermocouple Wire Set - ""J"" Iron-Constantan - J01-J24","A Type ""J"" Thermocouple wire set used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,J01-J24,J00SET,,,,,,,2003-04-13,,,,Main Location,False,True,True,620646,Pyro,53711,33769.0,Temperature Sensor,Generic Thermometers,1622,88,Temperature Sensor,,1000,,GENERIC 1622,,GENERIC 1622,Pyrometry Field,Pyrometry Lab,,1,27486.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235661,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K301-K314","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,K301-K314,K300 SET,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,Pyro,,1,27487.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235673,"Thermocouple Wire Set - ""N"" Nicrosil-Nisil - N01-N16","A Type ""N"" thermocouple wire set used for Temperature Uniformity Surveys. Made from N20-2-T wire.",Unidentified,1,,0,96552,N01-N16,N00SET,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,Pyro,,1,27499.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235682,Data Acquisition System - DAQBOOK/2005 - 806337,"DaqBook 2005, with connections for 40 type ""J"" thermocouples.",IOtech,1,,0,96552,806337,J2,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,182527,168302.0,IOT DaqBook/2005 Multifunction Data Acquisition System,IOT DaqBook Series Multifunction Data Acquisition Systems,2476,2044,Data Acquisition System,,3458,IOtech,DaqBook/2005,,DaqBook/2005,Pyrometry Field,Pyro,,1,27508.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
